time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.859375,-0.421875,0.35546875
21,-0.859375,-0.51171875,0.4921875
46,-0.90234375,-0.5546875,0.66015625
68,-0.95703125,-0.69921875,0.91015625
91,-1.03515625,-0.93359375,1.1796875
113,-1.13671875,-1.109375,1.390625
136,-1.18359375,-1.21484375,1.4296875
157,-1.0859375,-1.22265625,1.359375
181,-0.953125,-1.125,1.2734375
202,-0.75,-0.96875,1.1953125
224,-0.55859375,-0.83984375,1.0625
246,-0.55859375,-0.83984375,1.0625
264,-0.4296875,0.02734375,-0.953125
284,-0.328125,0.7265625,-1.54296875
301,-0.625,0.796875,-1.8046875
321,-1.00390625,0.203125,-1.69140625
344,-0.7890625,0.29296875,-1.3515625
365,-0.51171875,0.3046875,-0.96484375
388,-0.51171875,0.3046875,-0.96484375
410,-0.33203125,-0.07421875,-0.66796875
433,-0.37890625,-0.1953125,-0.69921875
449,-0.37890625,-0.1953125,-0.69921875
471,-0.44140625,-0.44140625,-0.40625
491,-0.4453125,-0.52734375,-0.0546875
514,-0.49609375,-0.62890625,0.2265625
536,-0.6328125,-0.76171875,0.36328125
558,-0.8125,-0.84765625,0.53515625
579,-0.90625,-0.890625,0.86328125
602,-0.94921875,-0.80078125,1.2890625
622,-0.98828125,-0.65234375,1.0703125
645,-0.984375,-0.60546875,0.9609375
666,-0.96484375,-0.609375,0.87109375
689,-0.96484375,-0.64453125,0.76171875
709,-0.96484375,-0.65234375,0.67578125
732,-0.96484375,-0.65234375,0.67578125
753,-0.9609375,-0.5859375,0.59765625
777,-0.953125,-0.4921875,0.51171875
817,-0.9296875,-0.41015625,0.4375
839,-0.90625,-0.4140625,0.45703125
860,-0.8828125,-0.375,0.32421875
883,-0.8984375,-0.39453125,0.28515625
903,-0.89453125,-0.4140625,0.29296875
928,-0.8671875,-0.41796875,0.3046875
949,-0.84375,-0.421875,0.296875
973,-0.84375,-0.421875,0.296875
994,-0.8828125,-0.42578125,0.2109375
1017,-0.87890625,-0.4375,0.23828125
1038,-0.84765625,-0.44140625,0.30078125
1061,-0.8359375,-0.4296875,0.3125
1082,-0.87109375,-0.39453125,0.27734375
