time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-1.05859375,-0.33984375,0.578125
55,-0.9765625,-0.390625,0.62109375
132,-0.734375,-0.4296875,0.69140625
187,0.05078125,-0.29296875,1.51171875
240,0.05078125,-0.29296875,1.51171875
295,-1.8359375,-0.765625,-0.13671875
350,-1.8359375,-0.765625,-0.13671875
402,-0.39453125,0.44921875,0.96484375
454,-1.62109375,-0.72265625,-0.01171875
508,0.19921875,-0.64453125,1.7109375
560,-1.24609375,0.25390625,0
611,-1.13671875,-0.515625,0.3984375
665,-0.0390625,-0.6796875,1.609375
716,-1.171875,0.20703125,-0.11328125
767,-1.25390625,-0.5703125,0.2890625
822,0.3828125,-0.47265625,1.71875
872,0.3828125,-0.47265625,1.71875
922,-1.4140625,-0.3828125,0.08984375
975,0.60546875,-0.703125,1.921875
1028,-2.79296875,0.23046875,-0.90625
1115,-0.7734375,-0.72265625,0.5703125
1168,0.8828125,-0.12890625,1.8125
1221,0.71484375,-1.42578125,1.96875
1275,-1.09375,0.19921875,-0.7890625
1328,-3.1796875,0.69140625,-1.44140625
1380,1.51171875,-1.390625,2.92578125
1433,-2.92578125,0.40234375,-1.44921875
1485,-2.92578125,0.40234375,-1.44921875
1537,-0.66015625,-0.47265625,0.75
1591,-0.765625,-0.421875,0.59375
1642,-0.88671875,-0.30078125,0.640625
1694,-0.8359375,-0.390625,0.6015625
1748,-0.84375,-0.36328125,0.67578125
1799,-0.8671875,-0.3515625,0.62109375
1851,-0.87890625,-0.35546875,0.58203125
1905,-0.8984375,-0.34375,0.53125
1957,-0.88671875,-0.328125,0.5625
2008,-0.88671875,-0.328125,0.5625
2062,-0.87890625,-0.328125,0.56640625
2114,-0.875,-0.33984375,0.57421875
2166,-0.86328125,-0.359375,0.58203125
2254,-0.875,-0.375,0.578125
2309,-0.8828125,-0.375,0.58203125
2361,-0.875,-0.3203125,0.578125
2415,-0.87890625,-0.34765625,0.59375
2467,-0.86328125,-0.328125,0.59765625
2518,-0.8671875,-0.34375,0.6015625
2570,-0.84765625,-0.33984375,0.61328125
2621,-0.84765625,-0.33984375,0.61328125
2672,-0.875,-0.34765625,0.58984375
