time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.90625,-0.41796875,0.546875
28,-0.96875,-0.40625,0.6796875
51,-1.03125,-0.41015625,0.8828125
72,-1.07421875,-0.6796875,1.16796875
92,-1.04296875,-0.82421875,1.171875
114,-1.03515625,-0.86328125,1.13671875
134,-1.0078125,-0.84375,1.2109375
156,-0.92578125,-0.796875,1.28515625
176,-0.75390625,-0.6953125,1.20703125
198,-0.6328125,-0.6015625,0.9453125
218,-0.61328125,-0.53125,0.578125
240,-0.6015625,-0.48046875,0.2421875
260,-0.56640625,-0.1328125,-0.48046875
279,-0.6328125,0.125,-0.9375
297,-0.85546875,0.28125,-1.46875
319,-1.07421875,0.203125,-1.8828125
357,-0.69921875,0.03125,-1.21484375
378,-0.515625,-0.20703125,-0.8203125
398,-0.47265625,-0.3671875,-0.58984375
420,-0.484375,-0.42578125,-0.46484375
439,-0.484375,-0.42578125,-0.46484375
462,-0.51171875,-0.4765625,-0.05078125
481,-0.59765625,-0.5078125,0.39453125
499,-0.69921875,-0.63671875,0.85546875
519,-0.80078125,-0.8671875,1.21875
538,-0.890625,-1.03125,1.2421875
560,-0.97265625,-1.0703125,1.15625
581,-1.0234375,-1.01953125,1.21484375
603,-1.0234375,-0.87890625,1.24609375
618,-0.94140625,-0.62890625,1.03515625
639,-0.94921875,-0.5703125,0.87890625
659,-0.94921875,-0.5703125,0.87890625
681,-0.984375,-0.51171875,0.640625
701,-0.91015625,-0.390625,0.515625
720,-0.890625,-0.359375,0.48046875
742,-0.8828125,-0.3515625,0.453125
762,-0.875,-0.3515625,0.43359375
783,-0.859375,-0.3515625,0.4296875
802,-0.83984375,-0.36328125,0.421875
820,-0.8359375,-0.390625,0.40234375
839,-0.85546875,-0.421875,0.359375
855,-0.8671875,-0.4375,0.32421875
875,-0.87109375,-0.453125,0.30859375
895,-0.86328125,-0.453125,0.3203125
915,-0.84765625,-0.45703125,0.34375
935,-0.83984375,-0.45703125,0.36328125
956,-0.87890625,-0.44140625,0.3359375
976,-0.88671875,-0.42578125,0.32421875
998,-0.8828125,-0.41796875,0.3515625
1017,-0.86328125,-0.41796875,0.37890625
