time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.73828125,-0.35546875,0.5859375
49,-0.6953125,-0.3828125,0.41015625
98,-0.7109375,-0.4375,0.5625
147,-0.73046875,-0.4140625,0.4140625
196,-0.78125,-0.48828125,0.41796875
246,-0.78125,-0.48828125,0.41796875
295,-0.62109375,-0.61328125,0.66015625
378,-0.7109375,-0.60546875,0.5390625
424,-0.96875,-0.27734375,0.12890625
474,-1.015625,-0.30859375,0.47265625
522,-0.8046875,-0.25390625,0.70703125
569,-0.828125,-0.24609375,0.66796875
617,-0.88671875,-0.375,0.71875
667,-0.90625,-0.35546875,0.640625
713,-0.96875,-0.38671875,0.515625
760,-0.8984375,-0.34375,0.5546875
808,-0.890625,-0.37109375,0.5390625
856,-0.890625,-0.37109375,0.5390625
903,-0.8828125,-0.40234375,0.5703125
950,-0.8359375,-0.37109375,0.5703125
997,-0.86328125,-0.33984375,0.53515625
1046,-0.9140625,-0.3984375,0.515625
1093,-0.88671875,-0.41015625,0.57421875
1140,-0.80078125,-0.28125,0.58984375
1187,-0.8359375,-0.2890625,0.53125
1236,-0.89453125,-0.4140625,0.57421875
1283,-0.8828125,-0.40234375,0.54296875
1330,-0.87890625,-0.3984375,0.546875
1381,-0.87890625,-0.3984375,0.546875
1461,-0.84375,-0.30078125,0.54296875
1511,-0.86328125,-0.3203125,0.51171875
1558,-0.875,-0.41796875,0.55859375
1605,-0.85546875,-0.35546875,0.53125
1653,-0.9609375,-0.40625,0.4453125
1702,-0.87890625,-0.4140625,0.5703125
1750,-0.82421875,-0.3828125,0.578125
1797,-0.890625,-0.3359375,0.5
1845,-0.78125,-0.40625,0.67578125
1894,-1.015625,-0.296875,0.30859375
1941,-0.9140625,-0.3515625,0.54296875
1988,-0.9140625,-0.3515625,0.54296875
2035,-0.85546875,-0.41796875,0.52734375
2083,-0.95703125,-0.359375,0.45703125
2130,-0.859375,-0.38671875,0.546875
2177,-0.83203125,-0.40625,0.59375
2224,-0.83984375,-0.421875,0.6015625
2273,-0.921875,-0.35546875,0.46484375
2319,-0.83203125,-0.4296875,0.59375
2366,-0.9375,-0.38671875,0.4453125
2413,-0.90234375,-0.359375,0.51171875
