time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.84375,-0.26171875,0.49609375
49,-0.86328125,-0.265625,0.48046875
97,-0.86328125,-0.26171875,0.4765625
145,-0.859375,-0.2578125,0.48046875
226,-0.81640625,-0.29296875,0.5078125
273,-0.83984375,-0.265625,0.47265625
323,-0.7421875,-0.2734375,0.5078125
369,-0.8515625,-0.203125,0.27734375
415,-0.80859375,-0.16796875,0.3125
462,-0.82421875,-0.06640625,0.1953125
508,-0.80078125,-0.05859375,0.2265625
556,-0.796875,0.0078125,0.18359375
601,-0.796875,0.0078125,0.18359375
646,-0.7734375,0,0.2265625
691,-0.828125,0,0.1953125
737,-0.79296875,-0.015625,0.2265625
784,-0.796875,-0.02734375,0.31640625
828,-0.79296875,-0.03515625,0.33203125
873,-0.76953125,-0.06640625,0.4296875
920,-0.80078125,-0.04296875,0.4296875
965,-0.78515625,-0.046875,0.47265625
1012,-0.83203125,-0.08984375,0.46875
1057,-0.8046875,-0.08203125,0.52734375
1102,-0.8046875,-0.08203125,0.52734375
1148,-0.8359375,-0.15625,0.546875
1194,-0.8359375,-0.16015625,0.546875
1242,-0.83984375,-0.19140625,0.56640625
1291,-0.8359375,-0.20703125,0.58203125
1369,-0.79296875,-0.20703125,0.625
1418,-0.828125,-0.21875,0.56640625
1468,-0.79296875,-0.2265625,0.546875
1514,-0.91015625,-0.203125,0.36328125
1560,-0.8671875,-0.171875,0.39453125
1606,-0.91015625,-0.1953125,0.34375
1653,-0.84765625,-0.1640625,0.41015625
1700,-0.84765625,-0.1640625,0.41015625
1746,-0.84765625,-0.27734375,0.4453125
1791,-0.8671875,-0.29296875,0.4453125
1837,-0.875,-0.296875,0.46484375
1885,-0.8671875,-0.30859375,0.4765625
1933,-0.84375,-0.3046875,0.51953125
1978,-0.85546875,-0.3203125,0.51953125
2023,-0.875,-0.3203125,0.5078125
2070,-0.859375,-0.27734375,0.52734375
2116,-0.828125,-0.2578125,0.5390625
2163,-0.875,-0.26171875,0.484375
2208,-0.875,-0.26171875,0.484375
2254,-0.8671875,-0.27734375,0.47265625
2300,-0.87109375,-0.28515625,0.4765625
2345,-0.859375,-0.28125,0.47265625
