time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.87109375,-0.52734375,0.57421875
43,-0.875,-0.52734375,0.5625
82,-0.95703125,-0.46875,0.5
123,-1.0703125,-0.4140625,0.41796875
191,-1.05859375,-0.6875,0.40625
232,-1.05859375,-0.6875,0.40625
271,0.171875,0.6796875,0.77734375
310,-0.00390625,0.45703125,0.71875
350,-0.109375,0.5390625,0.6640625
389,-0.125,0.5625,0.6640625
431,-0.3046875,0.7109375,0.58203125
473,-0.48828125,0.625,0.453125
513,-0.03515625,-0.1484375,1.07421875
554,-0.50390625,-0.99609375,0.68359375
594,-0.79296875,-1.5390625,0.64453125
634,-0.5625,-1.09375,0.71484375
673,-0.79296875,-0.78125,0.5859375
713,-0.79296875,-0.78125,0.5859375
753,-0.79296875,-0.78125,0.5859375
791,-0.90625,-0.515625,0.51953125
831,-0.87890625,-0.53125,0.5390625
869,-0.84375,-0.58203125,0.56640625
908,-0.88671875,-0.54296875,0.54296875
947,-0.875,-0.4765625,0.5390625
986,-0.8515625,-0.50390625,0.5625
1025,-0.8671875,-0.4765625,0.55078125
1064,-0.859375,-0.48046875,0.55078125
1103,-0.859375,-0.51171875,0.5625
1143,-0.87109375,-0.47265625,0.546875
1184,-0.8671875,-0.46484375,0.5546875
1223,-0.8671875,-0.46484375,0.5546875
1263,-0.8671875,-0.46484375,0.5546875
1303,-0.87890625,-0.484375,0.5703125
1346,-0.87890625,-0.48046875,0.5546875
1414,-0.8828125,-0.48046875,0.5625
1454,-0.87890625,-0.46875,0.5546875
1494,-0.8671875,-0.4765625,0.5703125
1535,-0.87109375,-0.46875,0.5625
1574,-0.8671875,-0.48046875,0.5703125
1614,-0.875,-0.46875,0.5703125
1654,-0.87109375,-0.4609375,0.5703125
1695,-0.87109375,-0.4609375,0.5703125
1735,-0.87109375,-0.4609375,0.5703125
1774,-0.87109375,-0.4609375,0.578125
1813,-0.8671875,-0.45703125,0.578125
1852,-0.87109375,-0.45703125,0.58203125
1891,-0.87890625,-0.4765625,0.57421875
1931,-0.8828125,-0.47265625,0.5703125
1972,-0.87890625,-0.46875,0.58203125
2010,-0.86328125,-0.46484375,0.5859375
