time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.85546875,-0.33984375,0.3046875
19,-0.85546875,-0.33984375,0.3046875
39,-0.8671875,-0.3125,0.296875
60,-0.86328125,-0.3046875,0.30078125
80,-0.86328125,-0.30078125,0.3046875
100,-0.859375,-0.3046875,0.3125
119,-0.87109375,-0.3125,0.3203125
139,-0.87109375,-0.33203125,0.31640625
159,-0.875,-0.3359375,0.3125
179,-0.875,-0.3359375,0.3046875
200,-0.875,-0.32421875,0.30078125
220,-0.87890625,-0.32421875,0.30078125
240,-0.87109375,-0.32421875,0.296875
260,-0.8671875,-0.3203125,0.3203125
280,-0.86328125,-0.328125,0.31640625
302,-0.85546875,-0.3359375,0.3203125
320,-0.8515625,-0.33203125,0.3125
339,-0.84375,-0.32421875,0.31640625
359,-0.84765625,-0.328125,0.31640625
379,-0.8515625,-0.33984375,0.30859375
399,-0.8515625,-0.33984375,0.30859375
419,-0.85546875,-0.34375,0.30078125
439,-0.85546875,-0.3359375,0.296875
459,-0.85546875,-0.328125,0.3046875
479,-0.84765625,-0.328125,0.3203125
499,-0.84375,-0.32421875,0.328125
519,-0.84375,-0.328125,0.34375
539,-0.859375,-0.34375,0.39453125
560,-0.86328125,-0.359375,0.4296875
579,-0.875,-0.375,0.4609375
599,-0.95703125,-0.37109375,0.63671875
619,-1.19140625,-0.41796875,1.12109375
639,-1.4765625,-0.63671875,1.75390625
661,-1.49609375,-0.9296875,1.8671875
692,-1.2109375,-1.08203125,1.87890625
708,-1.2109375,-1.08203125,1.87890625
722,-0.1640625,-1.1953125,2.5390625
739,0.1484375,-0.296875,-0.67578125
760,-0.16796875,0.046875,-2.5703125
780,-0.16796875,0.046875,-2.5703125
799,-1.06640625,0.43359375,-3.65234375
820,-0.9609375,0.05078125,-2.62890625
839,-0.56640625,-0.12890625,-1.328125
860,-0.27734375,-0.27734375,-0.609375
880,-0.1953125,-0.3125,-0.484375
899,-0.171875,-0.0390625,-0.703125
919,-0.17578125,0.2578125,-0.9609375
940,-0.2421875,0.16796875,-0.87109375
960,-0.30859375,-0.234375,-0.41796875
980,-0.42578125,-0.53125,-0.3515625
