time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.86328125,-0.47265625,0.375
20,-0.8671875,-0.46875,0.375
41,-0.86328125,-0.453125,0.375
58,-0.87109375,-0.44140625,0.37890625
79,-0.8671875,-0.44921875,0.390625
99,-0.87109375,-0.4765625,0.43359375
120,-0.90625,-0.49609375,0.5703125
139,-0.99609375,-0.4765625,0.87890625
159,-1.078125,-0.5546875,1.21484375
179,-1.15234375,-0.7421875,1.375
199,-0.9921875,-1.36328125,1.6796875
218,-0.73828125,-1.546875,1.87109375
239,-0.48828125,-1.37890625,1.69140625
259,-0.2734375,-1.00390625,1.2734375
278,-0.2734375,-1.00390625,1.2734375
300,-0.52734375,-0.18359375,-0.92578125
320,-0.6484375,0.1484375,-1.57421875
338,-0.66796875,0.3984375,-1.71875
358,-0.796875,0.19140625,-1.8125
378,-0.83203125,-0.15234375,-1.7109375
399,-0.83203125,-0.3046875,-1.55078125
418,-0.765625,-0.296875,-1.3359375
438,-0.71875,-0.296875,-1.19140625
458,-0.671875,-0.2578125,-1.15234375
478,-0.6328125,-0.17578125,-1.03515625
499,-0.62109375,-0.1484375,-0.92578125
519,-0.609375,-0.1484375,-0.625
538,-0.5078125,-0.54296875,0.40625
558,-0.4921875,-0.921875,1.0390625
580,-0.4921875,-1.140625,1.56640625
612,-0.51953125,-1.2578125,1.9453125
631,-0.6328125,-1.21484375,1.96484375
648,-0.7265625,-1.09375,1.7734375
666,-0.7265625,-1.09375,1.7734375
686,-0.91796875,-0.69140625,1.109375
700,-0.91796875,-0.69140625,1.109375
720,-1.0234375,-0.53515625,0.6328125
738,-1.01171875,-0.4609375,0.51953125
759,-0.98046875,-0.3828125,0.46875
780,-0.94140625,-0.33203125,0.44921875
798,-0.90234375,-0.33984375,0.44140625
819,-0.875,-0.40234375,0.4453125
838,-0.85546875,-0.47265625,0.4453125
859,-0.84375,-0.51171875,0.42578125
879,-0.84765625,-0.52734375,0.4140625
898,-0.84765625,-0.53515625,0.3984375
919,-0.85546875,-0.54296875,0.375
938,-0.86328125,-0.5390625,0.36328125
959,-0.86328125,-0.51953125,0.36328125
978,-0.86328125,-0.49609375,0.359375
