time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.84765625,-0.171875,0.515625
36,-0.84765625,-0.1796875,0.51953125
70,-0.84765625,-0.1796875,0.515625
100,-0.8515625,-0.1796875,0.51953125
133,-0.84765625,-0.16796875,0.51953125
167,-0.8515625,-0.17578125,0.51953125
224,-0.86328125,-0.1953125,0.51171875
256,-0.85546875,-0.18359375,0.51171875
289,-0.85546875,-0.17578125,0.5234375
321,-0.8515625,-0.18359375,0.51953125
351,-0.85546875,-0.18359375,0.51171875
383,-0.890625,-0.06640625,0.515625
416,-0.84765625,-0.09765625,0.52734375
448,-0.66015625,-0.46875,0.46484375
479,-0.625,-1.03125,0.390625
512,-0.625,-1.03125,0.390625
545,0.015625,-1.109375,0.66796875
577,0.046875,-1.2890625,0.5
608,0.046875,-1.26953125,0.52734375
639,0.0390625,-1.15625,0.55078125
670,0.01171875,-1.1796875,0.51171875
701,0.01171875,-1.1796875,0.51171875
731,-0.0390625,-1.22265625,0.484375
763,-0.1171875,-1.203125,0.46484375
794,-0.15625,-1.2421875,0.43359375
826,-0.22265625,-1.2578125,0.40625
855,-0.27734375,-1.203125,0.45703125
886,-0.4140625,-1.1015625,0.41796875
916,-0.7578125,-0.96484375,0.21484375
949,-0.89453125,-0.859375,0.2109375
978,-0.77734375,-0.5703125,0.4140625
1010,-0.77734375,-0.5703125,0.4140625
1042,-0.7265625,0.078125,0.6015625
1074,-0.7109375,0.10546875,0.609375
1104,-0.734375,0.02734375,0.61328125
1136,-0.76953125,0.015625,0.59375
1167,-0.80859375,0.03515625,0.54296875
1198,-0.796875,-0.06640625,0.56640625
1230,-0.8125,-0.10546875,0.54296875
1286,-0.83984375,-0.109375,0.51953125
1317,-0.83984375,-0.1484375,0.52734375
1348,-0.859375,-0.1796875,0.5078125
1380,-0.859375,-0.1640625,0.5
1410,-0.84765625,-0.1640625,0.5078125
1442,-0.859375,-0.17578125,0.50390625
1474,-0.859375,-0.171875,0.50390625
1506,-0.84765625,-0.15625,0.5078125
1537,-0.84765625,-0.15625,0.5078125
1569,-0.8515625,-0.171875,0.50390625
1601,-0.86328125,-0.17578125,0.50390625
