time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.80078125,-0.02734375,0.57421875
30,-0.80078125,-0.02734375,0.57421875
58,-0.796875,-0.02734375,0.58203125
88,-0.796875,-0.02734375,0.58984375
116,-0.80078125,-0.0234375,0.58984375
143,-0.80859375,0,0.5859375
174,-0.82421875,0.04296875,0.58984375
224,-0.7734375,-0.12890625,0.58203125
253,-0.74609375,-0.296875,0.515625
277,-0.80078125,-0.6171875,0.3046875
303,-0.55078125,-0.94140625,0.48046875
332,-0.30859375,-0.90625,0.6015625
361,-0.30859375,-0.90625,0.6015625
387,0.2109375,-1.28125,0.5
416,0.1171875,-1.4375,0.40625
444,0.15234375,-1.26953125,0.47265625
472,0.171875,-1.12109375,0.4921875
495,0.109375,-1.171875,0.46875
521,-0.12109375,-1.2265625,0.390625
546,-0.12109375,-1.2265625,0.390625
574,-0.1328125,-1.2265625,0.37109375
602,-0.1640625,-1.25,0.39453125
628,-0.21484375,-1.23828125,0.390625
656,-0.26171875,-1.20703125,0.3828125
685,-0.4296875,-1.109375,0.3515625
711,-0.52734375,-1.0859375,0.31640625
739,-0.7265625,-0.92578125,0.28515625
768,-0.78125,-0.78515625,0.3046875
794,-0.81640625,-0.55078125,0.40234375
823,-0.7890625,-0.421875,0.4765625
852,-0.67578125,-0.01171875,0.61328125
879,-0.67578125,-0.01171875,0.61328125
907,-0.6015625,0.328125,0.75
936,-0.625,0.296875,0.7578125
962,-0.64453125,0.24609375,0.7421875
990,-0.66796875,0.18359375,0.73046875
1019,-0.6875,0.125,0.71484375
1045,-0.6953125,0.12109375,0.70703125
1073,-0.69921875,0.140625,0.7109375
1100,-0.72265625,0.10546875,0.671875
1127,-0.7421875,0.078125,0.65234375
1156,-0.765625,0.1171875,0.640625
1184,-0.75390625,0.13671875,0.64453125
1234,-0.75390625,0.0859375,0.640625
1262,-0.7578125,0.05859375,0.63671875
1291,-0.76953125,0.0703125,0.63671875
1318,-0.76171875,0.03515625,0.6328125
1347,-0.76953125,0.015625,0.625
1376,-0.7890625,0.02734375,0.609375
1402,-0.7890625,0.02734375,0.609375
