time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-1.1171875,-0.44140625,0.7421875
20,-1.2734375,-0.65625,1.171875
40,-1.30859375,-0.9765625,1.4296875
61,-1.1875,-1.21484375,1.40234375
81,-0.7890625,-1.09765625,1.43359375
100,-0.51171875,-0.875,1.265625
121,-0.28125,-0.578125,0.84375
141,-0.2734375,-0.33203125,0.05859375
161,-0.37109375,-0.140625,-0.73046875
181,-0.46875,-0.0078125,-1.17578125
200,-0.46875,-0.0078125,-1.17578125
222,-0.64453125,0.48828125,-2.01953125
240,-0.82421875,0.40234375,-2.1875
261,-0.75390625,0.1953125,-1.85546875
284,-0.58984375,0.01171875,-1.4296875
300,-0.4921875,-0.140625,-1.11328125
321,-0.4453125,-0.203125,-0.875
341,-0.4765625,-0.2578125,-0.80078125
362,-0.48828125,-0.21875,-0.765625
381,-0.47265625,-0.2109375,-0.421875
401,-0.4609375,-0.4921875,0.42578125
420,-0.4453125,-1.4375,1.83203125
441,-0.55078125,-1.5703125,1.90625
461,-0.70703125,-1.40625,1.64453125
484,-0.88671875,-1.06640625,1.29296875
500,-1.0859375,-0.59765625,0.7265625
521,-1.2265625,-0.171875,0.1640625
542,-1.2734375,0.00390625,0.01953125
561,-1.2734375,0.00390625,0.01953125
581,-1.11328125,-0.0703125,0.203125
601,-1,-0.19140625,0.33984375
621,-0.90234375,-0.28125,0.4296875
641,-0.83203125,-0.33203125,0.46875
661,-0.79296875,-0.37109375,0.48046875
681,-0.79296875,-0.38671875,0.44921875
701,-0.80078125,-0.390625,0.39453125
721,-0.82421875,-0.4140625,0.33203125
742,-0.84765625,-0.453125,0.2578125
760,-0.8515625,-0.515625,0.21484375
780,-0.84375,-0.51171875,0.21484375
801,-0.83984375,-0.47265625,0.20703125
822,-0.84375,-0.42578125,0.2109375
850,-0.84765625,-0.3984375,0.234375
867,-0.83203125,-0.359375,0.26171875
883,-0.82421875,-0.34765625,0.28125
901,-0.81640625,-0.3515625,0.296875
921,-0.81640625,-0.359375,0.3046875
941,-0.81640625,-0.359375,0.3046875
960,-0.84375,-0.37890625,0.27734375
981,-0.8515625,-0.37109375,0.2734375
