time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.859375,-0.2890625,0.640625
54,-0.86328125,-0.2890625,0.6484375
107,-0.86328125,-0.296875,0.6484375
162,-0.86328125,-0.30859375,0.6484375
214,-0.85546875,-0.30078125,0.640625
266,-0.87109375,-0.296875,0.578125
318,-0.87109375,-0.296875,0.578125
370,-0.88671875,-0.38671875,0.64453125
422,-0.875,-0.41015625,0.6484375
476,-0.8671875,-0.38671875,0.6015625
526,-0.8671875,-0.38671875,0.6015625
578,-0.890625,-0.390625,0.6484375
631,-0.875,-0.38671875,0.64453125
682,-0.88671875,-0.40234375,0.6875
733,-0.85546875,-0.36328125,0.64453125
785,-0.84375,-0.34375,0.6953125
835,-0.84375,-0.34375,0.6953125
885,-0.86328125,-0.34765625,0.6171875
939,-0.8515625,-0.3515625,0.59765625
1008,-0.875,-0.36328125,0.6171875
1061,-0.875,-0.36328125,0.6171875
1111,-0.875,-0.3359375,0.609375
1163,-0.84765625,-0.3203125,0.62890625
1216,-0.87109375,-0.328125,0.578125
1267,-0.90234375,-0.3828125,0.53515625
1318,-0.88671875,-0.359375,0.58984375
1371,-0.8671875,-0.43359375,0.64453125
1421,-0.8828125,-0.3671875,0.44140625
1472,-0.87890625,-0.49609375,0.68359375
1525,-0.85546875,-0.3359375,0.453125
1576,-0.8984375,-0.48828125,0.56640625
1628,-0.8984375,-0.48828125,0.56640625
1681,-0.87109375,-0.4765625,0.5546875
1732,-0.85546875,-0.3828125,0.63671875
1783,-0.87109375,-0.40234375,0.60546875
1836,-0.875,-0.40625,0.56640625
1887,-0.91796875,-0.5234375,0.48046875
1941,-0.84765625,-0.40234375,0.58203125
2014,-0.91796875,-0.5859375,0.75
2067,-0.8984375,-0.33203125,0.55078125
2117,-0.8984375,-0.33203125,0.55078125
2168,-0.85546875,-0.28515625,0.703125
2221,-0.84375,-0.26953125,0.4921875
2271,-0.8515625,-0.22265625,0.578125
2323,-0.83203125,-0.2265625,0.51171875
2377,-0.85546875,-0.30859375,0.6328125
2427,-0.87890625,-0.3046875,0.5390625
2479,-0.87109375,-0.359375,0.48828125
2533,-0.8671875,-0.3125,0.37890625
2583,-0.9375,-0.578125,0.78125
