time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.86328125,-0.5390625,0.56640625
37,-0.86328125,-0.5390625,0.56640625
74,-0.86328125,-0.5390625,0.5703125
110,-0.85546875,-0.53515625,0.578125
147,-0.8515625,-0.52734375,0.58203125
184,-0.85546875,-0.53515625,0.578125
221,-0.859375,-0.5390625,0.5703125
257,-0.8671875,-0.54296875,0.5703125
293,-0.87109375,-0.53125,0.56640625
328,-0.87109375,-0.52734375,0.56640625
363,-0.87109375,-0.52734375,0.56640625
398,-0.87109375,-0.52734375,0.56640625
427,-0.85546875,-0.5390625,0.57421875
462,-0.85546875,-0.53515625,0.57421875
496,-0.86328125,-0.54296875,0.5703125
532,-0.9296875,-0.4921875,0.50390625
567,-0.828125,-0.80078125,0.578125
602,-0.73828125,-0.78125,0.703125
638,-0.609375,-0.37109375,0.6875
674,-0.12890625,0.44921875,0.63671875
735,0.140625,0.94140625,0.57421875
770,-0.01171875,0.66796875,0.578125
807,-0.25390625,0.44921875,0.6640625
843,-0.29296875,0.37109375,0.69921875
877,-0.29296875,0.37109375,0.69921875
913,-0.29296875,0.37109375,0.69921875
945,-0.40625,0.72265625,0.53125
980,-0.55859375,0.609375,0.4296875
1015,-0.58984375,0.47265625,0.45703125
1051,-0.33984375,-0.265625,0.92578125
1086,-0.4921875,-1.12109375,0.7578125
1121,-0.671875,-1.26953125,0.6640625
1156,-0.5078125,-1.03515625,0.80859375
1190,-0.7265625,-0.8359375,0.63671875
1225,-0.8046875,-0.75,0.578125
1260,-0.8203125,-0.578125,0.59765625
1296,-0.828125,-0.5078125,0.58203125
1331,-0.88671875,-0.578125,0.5625
1366,-0.84765625,-0.55078125,0.59765625
1401,-0.84765625,-0.55078125,0.59765625
1436,-0.859375,-0.61328125,0.59375
1471,-0.8671875,-0.59375,0.5859375
1508,-0.859375,-0.55078125,0.59375
1543,-0.84375,-0.54296875,0.61328125
1580,-0.83984375,-0.52734375,0.609375
1615,-0.859375,-0.55859375,0.59375
1650,-0.859375,-0.56640625,0.58984375
1686,-0.8671875,-0.5546875,0.578125
1721,-0.859375,-0.56640625,0.58984375
1757,-0.859375,-0.55859375,0.58984375
