time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.828125,-0.30078125,0.015625
21,-0.6015625,-0.0546875,0.28515625
40,-0.53125,0.0234375,0.3828125
60,-0.51171875,0.09375,0.4140625
81,-0.5,0.1796875,0.40234375
100,-0.5078125,0.23046875,0.39453125
121,-0.5,0.1796875,0.4453125
141,-0.453125,0.0703125,0.5703125
160,-0.38671875,-0.05078125,0.70703125
180,-0.38671875,-0.1484375,0.828125
200,-0.4375,-0.3046875,0.8828125
220,-0.453125,-0.5703125,0.8515625
242,-0.51953125,-0.84375,0.79296875
262,-0.53125,-1.11328125,0.86328125
282,-0.46484375,-1.32421875,1.0625
300,-0.390625,-1.50390625,1.24609375
320,-0.43359375,-1.515625,1.1953125
340,-0.44140625,-1.3671875,1.1015625
360,-0.44140625,-1.3671875,1.1015625
380,-0.4921875,-1.11328125,1
400,-0.609375,-0.9765625,0.84375
420,-0.64453125,-0.8671875,0.76953125
441,-0.65625,-0.76953125,0.7109375
460,-0.6328125,-0.66796875,0.6953125
481,-0.58203125,-0.53125,0.68359375
500,-0.58984375,-0.41796875,0.61328125
520,-0.6171875,-0.38671875,0.52734375
542,-0.65234375,-0.4765625,0.47265625
562,-0.70703125,-0.71484375,0.390625
581,-0.80078125,-1.1171875,0.3359375
600,-0.81640625,-1.40625,0.50390625
621,-0.80859375,-1.47265625,0.58203125
640,-0.796875,-1.3828125,0.5546875
663,-0.78515625,-1.265625,0.5390625
680,-0.75390625,-1.1328125,0.55078125
701,-0.72265625,-1.0078125,0.5703125
721,-0.6484375,-0.7421875,0.58984375
740,-0.625,-0.625,0.55859375
760,-0.62890625,-0.5234375,0.515625
780,-0.6328125,-0.45703125,0.4765625
801,-0.640625,-0.4296875,0.43359375
821,-0.65234375,-0.44921875,0.39453125
841,-0.66796875,-0.51953125,0.359375
861,-0.6796875,-0.62890625,0.3359375
880,-0.73046875,-0.83203125,0.33203125
901,-0.73046875,-1,0.3671875
921,-0.75390625,-1.140625,0.3671875
942,-0.76171875,-1.22265625,0.38671875
960,-0.75390625,-1.234375,0.390625
980,-0.73828125,-1.20703125,0.3984375
