time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.828125,-0.09765625,0.5703125
26,-0.83203125,-0.08984375,0.57421875
54,-0.83203125,-0.08203125,0.5859375
82,-0.82421875,-0.078125,0.59375
111,-0.83203125,-0.08984375,0.59375
157,-0.83203125,-0.0859375,0.59765625
184,-0.82421875,-0.07421875,0.6015625
209,-0.81640625,-0.0703125,0.59375
236,-0.8515625,-0.00390625,0.5703125
263,-0.80078125,-0.00390625,0.640625
288,-0.71484375,-0.15625,0.62109375
310,-0.66796875,-0.25390625,0.57421875
334,-0.7734375,-0.375,0.4140625
361,-0.6796875,-0.91015625,0.3515625
387,-0.265625,-1.015625,0.60546875
412,-0.05078125,-1.03515625,0.63671875
439,0.140625,-1.203125,0.5703125
464,0.0859375,-1.375,0.47265625
490,0.0390625,-1.38671875,0.4140625
511,0.0390625,-1.38671875,0.4140625
534,0.0703125,-1.10546875,0.484375
559,0.03515625,-1.171875,0.4609375
584,-0.0234375,-1.234375,0.421875
610,-0.03515625,-1.2578125,0.40234375
636,-0.05078125,-1.1328125,0.4765625
660,-0.08984375,-1.13671875,0.453125
686,-0.1015625,-1.1875,0.4296875
709,-0.1015625,-1.1875,0.4296875
736,-0.09765625,-1.25390625,0.41796875
761,-0.15234375,-1.3046875,0.35546875
784,-0.43359375,-1.21875,0.32421875
811,-0.5390625,-1.0390625,0.34765625
834,-0.703125,-0.828125,0.27734375
859,-0.875,-0.81640625,0.1171875
884,-0.96484375,-0.87890625,0.16015625
910,-0.8125,-0.62109375,0.421875
937,-0.53515625,0.3359375,0.64453125
960,-0.5859375,0.40625,0.7265625
986,-0.62109375,0.23046875,0.72265625
1014,-0.62109375,0.23046875,0.72265625
1067,-0.74609375,0.0234375,0.609375
1092,-0.7421875,0.05078125,0.62890625
1119,-0.76953125,0.046875,0.65234375
1143,-0.78125,0.0078125,0.62890625
1170,-0.80078125,-0.00390625,0.625
1194,-0.8125,-0.01171875,0.61328125
1220,-0.8125,-0.01171875,0.61328125
1246,-0.796875,0.015625,0.625
1269,-0.796875,-0.00390625,0.625
1296,-0.7890625,-0.03515625,0.62109375
