time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.828125,-0.109375,0.54296875
29,-0.828125,-0.109375,0.54296875
61,-0.83203125,-0.109375,0.546875
92,-0.83203125,-0.11328125,0.546875
120,-0.8359375,-0.1171875,0.54296875
151,-0.8671875,-0.04296875,0.53515625
182,-0.8984375,0.01171875,0.51953125
210,-0.921875,-0.10546875,0.50390625
241,-0.8359375,-0.2890625,0.484375
272,-0.49609375,-0.75390625,0.5078125
302,-0.49609375,-0.75390625,0.5078125
357,0.26171875,-1.19921875,0.65234375
388,0.1953125,-1.2578125,0.5703125
418,0.12890625,-1.2109375,0.54296875
446,0.13671875,-1.08984375,0.5390625
476,0.125,-1.09375,0.51953125
506,0.12109375,-1.16015625,0.4765625
535,0.078125,-1.2421875,0.4375
565,0.04296875,-1.26171875,0.43359375
595,-0.0234375,-1.2265625,0.453125
623,-0.03125,-1.2890625,0.45703125
654,-0.1484375,-1.33203125,0.4296875
684,-0.19140625,-1.28125,0.4375
712,-0.578125,-0.93359375,0.421875
741,-0.7421875,-0.74609375,0.38671875
771,-0.7890625,-0.5859375,0.3359375
801,-0.80859375,-0.171875,0.48828125
831,-0.80859375,-0.171875,0.48828125
861,-0.75390625,0.140625,0.52734375
890,-0.76171875,0.01953125,0.5625
920,-0.8203125,-0.06640625,0.52734375
950,-0.82421875,-0.03515625,0.52734375
977,-0.82421875,-0.07421875,0.5234375
1007,-0.84375,-0.19921875,0.515625
1036,-0.85546875,-0.19921875,0.49609375
1065,-0.84375,-0.15234375,0.5
1094,-0.84375,-0.21875,0.5
1126,-0.8515625,-0.2265625,0.49609375
1153,-0.84765625,-0.1875,0.4921875
1183,-0.83203125,-0.1328125,0.5
1212,-0.83203125,-0.140625,0.50390625
1242,-0.8359375,-0.15625,0.50390625
1269,-0.85546875,-0.15234375,0.49609375
1301,-0.8515625,-0.15234375,0.49609375
1351,-0.8515625,-0.15234375,0.49609375
1380,-0.8515625,-0.1484375,0.50390625
1411,-0.86328125,-0.17578125,0.50390625
1437,-0.859375,-0.171875,0.5
1467,-0.8515625,-0.16796875,0.5
1497,-0.8515625,-0.1640625,0.49609375
