time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.859375,-0.1796875,0.5078125
34,-0.859375,-0.19140625,0.5078125
68,-0.85546875,-0.19140625,0.51171875
102,-0.8515625,-0.19140625,0.515625
135,-0.8515625,-0.19140625,0.515625
166,-0.8671875,-0.1796875,0.5
200,-0.859375,-0.1796875,0.5
234,-0.859375,-0.1796875,0.50390625
268,-0.84765625,-0.1796875,0.515625
298,-0.87890625,-0.11328125,0.5078125
332,-0.9140625,0.0234375,0.51171875
366,-0.72265625,-0.29296875,0.49609375
423,-0.734375,-0.65625,0.38671875
456,-0.56640625,-0.9453125,0.44921875
489,0.2578125,-1.13671875,0.6015625
523,0.3125,-1.3203125,0.5703125
553,0.15625,-1.26171875,0.49609375
585,0.1484375,-1.171875,0.50390625
619,0.07421875,-1.1484375,0.48046875
651,0.07421875,-1.1484375,0.48046875
681,-0.05078125,-1.15625,0.4296875
714,-0.05859375,-1.17578125,0.41796875
747,-0.0078125,-1.20703125,0.4296875
779,-0.03125,-1.30078125,0.39453125
810,-0.0703125,-1.359375,0.359375
841,-0.17578125,-1.3671875,0.3671875
873,-0.33984375,-1.125,0.421875
905,-0.5625,-1.015625,0.36328125
937,-0.93359375,-0.81640625,0.16015625
967,-0.671875,-0.50390625,0.5078125
999,-0.56640625,-0.0859375,0.6953125
1031,-0.5625,0.36328125,0.7890625
1063,-0.6328125,0.1328125,0.71875
1093,-0.70703125,0.05859375,0.67578125
1126,-0.7734375,0.06640625,0.5859375
1159,-0.7734375,0.06640625,0.5859375
1192,-0.78125,0.01171875,0.6328125
1222,-0.82421875,-0.078125,0.578125
1256,-0.8359375,-0.08203125,0.578125
1288,-0.8359375,-0.11328125,0.57421875
1320,-0.83984375,-0.1171875,0.55859375
1350,-0.8359375,-0.1171875,0.55078125
1382,-0.84375,-0.1328125,0.546875
1414,-0.84375,-0.1484375,0.546875
1449,-0.85546875,-0.16796875,0.53515625
1505,-0.8515625,-0.18359375,0.5390625
1538,-0.84375,-0.18359375,0.5390625
1571,-0.859375,-0.16796875,0.53125
1604,-0.85546875,-0.203125,0.53515625
1638,-0.859375,-0.20703125,0.53515625
