time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.859375,-0.171875,0.53125
26,-0.859375,-0.17578125,0.53515625
51,-0.85546875,-0.17578125,0.546875
77,-0.8515625,-0.1796875,0.55078125
103,-0.86328125,-0.171875,0.55078125
127,-0.88671875,-0.140625,0.5390625
153,-0.93359375,-0.0546875,0.5234375
177,-0.94140625,-0.01953125,0.52734375
203,-0.9375,-0.1171875,0.515625
227,-0.84765625,-0.296875,0.47265625
253,-0.62109375,-0.42578125,0.55078125
277,-0.3125,-0.62109375,0.8125
297,0.0625,-1.0078125,0.85546875
320,0.1171875,-1.1171875,0.67578125
345,0.19921875,-1.20703125,0.60546875
364,0.28515625,-1.22265625,0.61328125
388,0.26953125,-1.171875,0.59375
411,0.2578125,-1.125,0.5625
437,0.3046875,-1.20703125,0.50390625
462,0.23828125,-1.22265625,0.45703125
480,0.22265625,-1.33984375,0.390625
504,0.08984375,-1.44921875,0.28515625
526,-0.14453125,-1.42578125,0.28515625
551,-0.19921875,-1.29296875,0.3828125
574,-0.3984375,-1.015625,0.41796875
598,-0.65234375,-0.80078125,0.3203125
621,-0.80078125,-0.84765625,0.2109375
647,-0.87890625,-0.84765625,0.21875
671,-0.76171875,-0.609375,0.421875
695,-0.59765625,-0.09765625,0.51953125
718,-0.55078125,0.28515625,0.65625
742,-0.66796875,0.1796875,0.6796875
765,-0.7578125,0.0625,0.625
791,-0.79296875,0.0234375,0.58984375
834,-0.79296875,0.0234375,0.578125
859,-0.80078125,0.00390625,0.63671875
883,-0.82421875,-0.0625,0.58984375
908,-0.81640625,-0.10546875,0.6015625
931,-0.82421875,-0.1328125,0.59375
956,-0.83984375,-0.14453125,0.58203125
981,-0.84375,-0.13671875,0.578125
1004,-0.81640625,-0.0625,0.5859375
1029,-0.81640625,-0.0625,0.5859375
1053,-0.81640625,-0.05859375,0.5859375
1078,-0.8203125,-0.08203125,0.5859375
1102,-0.84375,-0.12890625,0.55859375
1127,-0.84375,-0.12109375,0.55859375
1150,-0.83984375,-0.12109375,0.5703125
1174,-0.8359375,-0.1484375,0.5703125
1197,-0.8359375,-0.15625,0.56640625
