time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.859375,-0.53515625,0.6015625
40,-0.859375,-0.5390625,0.60546875
77,-0.84765625,-0.53515625,0.61328125
116,-0.8515625,-0.52734375,0.6171875
152,-0.85546875,-0.5234375,0.61328125
189,-0.85546875,-0.5234375,0.61328125
226,-0.86328125,-0.54296875,0.59765625
262,-0.8671875,-0.53515625,0.59765625
299,-0.86328125,-0.53125,0.59765625
336,-0.859375,-0.5390625,0.60546875
373,-0.859375,-0.546875,0.609375
409,-0.8515625,-0.5546875,0.60546875
445,-0.8515625,-0.52734375,0.59765625
481,-0.87890625,-0.54296875,0.57421875
517,-0.88671875,-0.69140625,0.5703125
552,-0.86328125,-0.66796875,0.58203125
588,-0.27734375,-0.0546875,0.8125
624,0.15625,0.89453125,0.609375
657,0.15625,0.7109375,0.69921875
694,0.15625,0.7109375,0.69921875
756,-0.171875,0.4609375,0.734375
793,-0.23828125,0.36328125,0.734375
829,-0.3046875,0.83203125,0.51171875
867,-0.52734375,1.05078125,0.3984375
903,-0.07421875,0.21484375,0.78125
939,-0.1015625,-0.6328125,1.12109375
975,-1.01953125,-1.36328125,0.4609375
1011,-0.7421875,-1.09375,0.69921875
1047,-0.78515625,-0.6328125,0.64453125
1083,-0.8828125,-0.5390625,0.5546875
1117,-0.90234375,-0.46875,0.60546875
1152,-0.80859375,-0.359375,0.62890625
1188,-0.85546875,-0.48828125,0.60546875
1224,-0.85546875,-0.48828125,0.60546875
1260,-0.8671875,-0.5078125,0.61328125
1296,-0.89453125,-0.52734375,0.59765625
1333,-0.875,-0.53125,0.60546875
1368,-0.85546875,-0.45703125,0.62890625
1404,-0.84375,-0.4765625,0.6328125
1439,-0.84375,-0.48828125,0.640625
1475,-0.85546875,-0.50390625,0.6171875
1508,-0.8671875,-0.50390625,0.609375
1544,-0.875,-0.484375,0.59765625
1580,-0.87109375,-0.48046875,0.59765625
1616,-0.859375,-0.484375,0.60546875
1651,-0.86328125,-0.484375,0.6015625
1687,-0.87109375,-0.48828125,0.60546875
1723,-0.87109375,-0.48828125,0.60546875
1759,-0.875,-0.484375,0.6015625
1799,-0.875,-0.484375,0.60546875
