time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.859375,-0.4921875,0.6328125
58,-0.87109375,-0.51171875,0.62890625
101,-0.99609375,-0.625,0.4921875
143,-0.51171875,-0.31640625,0.8203125
190,0.33203125,0.78125,0.80859375
233,0.0390625,0.44921875,0.79296875
277,-0.05859375,0.51171875,0.70703125
320,-0.1640625,0.53515625,0.76171875
362,-0.33203125,0.64453125,0.67578125
405,-0.453125,0.5703125,0.52734375
447,-0.484375,-0.33984375,0.80859375
489,-0.65625,-0.97265625,0.66796875
532,-0.81640625,-1.140625,0.58203125
574,-0.81640625,-1.140625,0.58203125
618,-0.82421875,-0.64453125,0.55078125
660,-0.82421875,-0.64453125,0.55078125
701,-0.86328125,-0.4609375,0.5390625
742,-0.8828125,-0.53125,0.55078125
784,-0.87109375,-0.51171875,0.56640625
828,-0.890625,-0.5390625,0.5625
899,-0.87109375,-0.53515625,0.578125
941,-0.87109375,-0.49609375,0.578125
985,-0.86328125,-0.49609375,0.57421875
1026,-0.859375,-0.5078125,0.5703125
1068,-0.859375,-0.5078125,0.5703125
1111,-0.8671875,-0.484375,0.57421875
1152,-0.87109375,-0.5,0.5859375
1194,-0.875,-0.48046875,0.57421875
1236,-0.8671875,-0.4921875,0.5859375
1277,-0.875,-0.49609375,0.578125
1319,-0.87109375,-0.49609375,0.578125
1360,-0.86328125,-0.48828125,0.5859375
1402,-0.86328125,-0.48828125,0.58984375
1444,-0.8671875,-0.5,0.5859375
1486,-0.8671875,-0.48046875,0.58203125
1527,-0.86328125,-0.484375,0.58984375
1569,-0.87109375,-0.5,0.58984375
1611,-0.87109375,-0.5,0.58984375
1653,-0.859375,-0.4765625,0.59765625
1694,-0.8671875,-0.47265625,0.5859375
1737,-0.875,-0.484375,0.578125
1778,-0.87109375,-0.48828125,0.58984375
1819,-0.859375,-0.4765625,0.6015625
1860,-0.8671875,-0.484375,0.58984375
1902,-0.88671875,-0.4765625,0.58203125
1945,-0.86328125,-0.48046875,0.59765625
2017,-0.86328125,-0.48828125,0.59375
2058,-0.8828125,-0.484375,0.5859375
2103,-0.8828125,-0.484375,0.5859375
2145,-0.87109375,-0.47265625,0.58984375
