time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.859375,-0.52734375,0.58203125
38,-0.859375,-0.53125,0.5859375
74,-0.85546875,-0.53515625,0.59375
109,-0.84765625,-0.53515625,0.6015625
146,-0.8984375,-0.50390625,0.5703125
182,-1.11328125,-0.58203125,0.328125
217,-0.66796875,-0.6796875,0.8046875
252,-0.5,-0.3828125,0.7734375
287,-0.5,-0.3828125,0.7734375
320,-0.140625,0.1796875,0.7265625
356,0.06640625,0.6328125,0.63671875
392,-0.23046875,0.42578125,0.63671875
427,-0.2265625,0.39453125,0.7265625
461,-0.21875,0.44140625,0.703125
495,-0.22265625,0.48046875,0.65234375
530,-0.27734375,0.53515625,0.63671875
564,-0.34765625,0.53125,0.6171875
597,-0.46875,0.5234375,0.55859375
632,-0.703125,0.59765625,0.41015625
666,-0.4921875,0.21484375,0.65625
702,-0.37109375,-0.67578125,0.80078125
736,-0.57421875,-1.11328125,0.63671875
771,-0.8046875,-1.27734375,0.546875
805,-0.8046875,-1.27734375,0.546875
839,-0.765625,-0.7734375,0.58984375
872,-0.78515625,-0.57421875,0.59765625
907,-0.7734375,-0.55078125,0.61328125
968,-0.80078125,-0.53515625,0.59765625
1003,-0.86328125,-0.57421875,0.53125
1038,-0.84375,-0.59765625,0.58203125
1073,-0.86328125,-0.5859375,0.57421875
1107,-0.84765625,-0.63671875,0.578125
1141,-0.83203125,-0.5859375,0.59375
1176,-0.859375,-0.55078125,0.578125
1209,-0.85546875,-0.5625,0.58203125
1243,-0.84765625,-0.56640625,0.59375
1277,-0.859375,-0.55078125,0.57421875
1312,-0.859375,-0.55078125,0.57421875
1347,-0.859375,-0.55078125,0.57421875
1382,-0.85546875,-0.54296875,0.56640625
1416,-0.859375,-0.5546875,0.5625
1449,-0.8515625,-0.546875,0.5703125
1484,-0.85546875,-0.55078125,0.57421875
1519,-0.8515625,-0.546875,0.5859375
1553,-0.859375,-0.546875,0.578125
1585,-0.86328125,-0.546875,0.578125
1620,-0.8671875,-0.5390625,0.578125
1655,-0.8671875,-0.54296875,0.57421875
1690,-0.86328125,-0.54296875,0.57421875
1725,-0.86328125,-0.5390625,0.578125
