time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.8515625,-0.15625,0.5703125
34,-0.8515625,-0.1640625,0.5703125
61,-0.8515625,-0.16015625,0.5703125
88,-0.8515625,-0.16015625,0.5703125
113,-0.84765625,-0.1640625,0.58984375
139,-0.84375,-0.15234375,0.5859375
164,-0.84765625,-0.14453125,0.57421875
190,-0.84375,-0.14453125,0.57421875
214,-0.8359375,-0.14453125,0.578125
243,-0.8359375,-0.14453125,0.578125
288,-0.890625,-0.015625,0.5625
314,-0.9453125,0.0703125,0.55078125
340,-0.890625,-0.16015625,0.53515625
365,-0.4140625,-0.66015625,0.71875
391,0.01953125,-1.05859375,0.81640625
415,0.1328125,-1.17578125,0.69921875
441,0.28125,-1.3671875,0.671875
464,0.171875,-1.3125,0.69140625
491,0.12890625,-1.19921875,0.6484375
515,0.08203125,-1.25,0.55859375
541,0,-1.2734375,0.52734375
564,-0.03515625,-1.2578125,0.53125
591,-0.03515625,-1.2578125,0.53125
614,-0.08203125,-1.3046875,0.5234375
640,-0.30859375,-1.26171875,0.48046875
659,-0.48828125,-1.16015625,0.42578125
682,-0.69140625,-1.0234375,0.28125
708,-0.85546875,-0.90625,0.14453125
731,-0.88671875,-0.73046875,0.40234375
757,-0.75390625,-0.27734375,0.5390625
781,-0.61328125,0.1484375,0.609375
807,-0.62109375,0.41796875,0.6953125
830,-0.65625,0.1328125,0.73046875
855,-0.71875,0.03515625,0.67578125
881,-0.73046875,0.0078125,0.62890625
904,-0.7421875,0.0546875,0.65625
929,-0.765625,0.0703125,0.671875
953,-0.77734375,0.05078125,0.65234375
979,-0.78125,-0.01953125,0.625
1002,-0.79296875,-0.03515625,0.625
1029,-0.796875,-0.05078125,0.6171875
1054,-0.8046875,-0.05078125,0.609375
1077,-0.80078125,-0.01953125,0.62109375
1103,-0.80078125,-0.01953125,0.62109375
1126,-0.79296875,-0.0234375,0.62109375
1152,-0.80078125,-0.02734375,0.60546875
1176,-0.8125,-0.0390625,0.59765625
1201,-0.8203125,-0.05078125,0.6015625
1226,-0.81640625,-0.0703125,0.59765625
1273,-0.8125,-0.08203125,0.6015625
