time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.859375,-0.44921875,0.328125
22,-0.88671875,-0.47265625,0.3671875
47,-0.96484375,-0.49609375,0.4609375
70,-1.07421875,-0.5234375,0.59765625
95,-1.15625,-0.625,0.78125
116,-1.1953125,-0.81640625,0.86328125
140,-1.2109375,-1.0234375,0.98046875
163,-1.2890625,-1.1953125,1.203125
187,-1.2890625,-1.1953125,1.203125
228,-0.97265625,-1.3515625,1.5859375
252,-0.37890625,-0.89453125,1.35546875
275,-0.3828125,-0.07421875,-0.62109375
294,-0.3046875,0.5625,-1.265625
315,-0.46484375,0.41015625,-1.42578125
339,-0.6015625,0.16796875,-1.5
361,-0.73828125,-0.015625,-1.25
381,-0.73828125,-0.015625,-1.25
401,-0.66796875,-0.05859375,-1.06640625
425,-0.55078125,-0.05078125,-0.87890625
448,-0.41796875,-0.0703125,-0.69921875
471,-0.38671875,-0.140625,-0.671875
493,-0.42578125,-0.2109375,-0.68359375
512,-0.4765625,-0.2578125,-0.6796875
533,-0.58203125,-0.30078125,-0.13671875
556,-0.578125,-0.45703125,0.3671875
578,-0.58203125,-0.6875,0.75
602,-0.8828125,-1.20703125,1.1171875
623,-1,-1.140625,1.234375
647,-0.97265625,-0.98046875,1.32421875
668,-0.97265625,-0.98046875,1.32421875
692,-0.984375,-0.68359375,1.09765625
714,-1,-0.65625,0.890625
732,-1.04296875,-0.68359375,0.65625
753,-1.078125,-0.6953125,0.46875
777,-1.05078125,-0.65234375,0.40234375
798,-1.00390625,-0.55078125,0.3515625
822,-0.890625,-0.4140625,0.375
843,-0.8515625,-0.40234375,0.3984375
867,-0.828125,-0.40234375,0.390625
887,-0.80859375,-0.4140625,0.37890625
912,-0.80859375,-0.4140625,0.37890625
933,-0.8125,-0.4296875,0.33984375
956,-0.83984375,-0.49609375,0.25390625
978,-0.84765625,-0.5078125,0.23828125
1002,-0.84375,-0.46875,0.21875
1024,-0.83984375,-0.47265625,0.2109375
1048,-0.859375,-0.515625,0.2265625
1069,-0.8515625,-0.4921875,0.2421875
1093,-0.84375,-0.4609375,0.2578125
1117,-0.8359375,-0.45703125,0.265625
